concept	kind	current_location	record_kind	cli_surface	enforced	displayed_only	authority_implication	risk	recommended_target	notes
frame_id	id	cmd/yai/src/main.rs; labs/context-residency/fixtures/*	participant_view_frame	yai prompt; context-residency lab	no	yes	none	frame may include unresolved authority assumptions	future projection boundary	Frame is lab/runtime context surface, not formal ContextFrame yet.
thread_id	id	include/yai/case/interaction_thread.h; cmd/yai/src/main.rs	interaction_thread; interaction_turn	yai prompt outputs	no	yes	none	thread continuity mistaken for memory/authority	future CaseModelSession	Thread identifies interaction continuity only.
case_binding	binding	include/yai/case/case_world.h; system/case/case_world.c	case_binding	yai daemon run-filesystem-loop; projection summaries	no	yes	none	binding declaration mistaken for capability	future CaseHandle	Declares target relation/posture.
subject_binding	binding	include/yai/subject/subject_binding.h; system/subject/subject_binding.c	subject_binding	yai store record get; graph/facts outputs	no	yes	none	control_mode not consistently enforced	future SubjectHandle	Contains binding/control modes but runtime paths mostly use summaries.
case_attachment	binding	include/yai/case/case_world.h; system/case/case_world.c	case_attachment	yai daemon run-filesystem-loop	no	yes	none	attachment mistaken for scope object	future ResourceScope	Filesystem sandbox attachment is evidence, not scope object.
provider_attachment	binding	cmd/yai/src/main.rs; ../yai-dev/src/models/bindings/*	case_binding; subject_binding	yai case attach-provider; provider targets	no	yes	none	attached provider mistaken for leased provider	future CapabilityLease	Provider binding needs capability/admissibility extraction.
case_entry	binding	cmd/yai/src/main.rs; labs/context-residency	case; case_domain	yai case enter	no	yes	none	case opened without generation snapshot	future CaseHandle	CLI surface exposes case setup, not handle.
policy_subject	binding	system/daemon/core_loop.c	policy_rule; subject_binding	yai daemon run-filesystem-loop	no	yes	partial	policy subject relation mistaken for effective policy	future AuthorityScope	Policy pack subject is a bound subject plus records.
reviewer authority	authority	cmd/yai/src/main.rs	review_decision; control_pending	yai control show	partial	yes	partial	local-dev authority hardcoded/displayed	future AuthorityScope	Reviewer subject should resolve through authority scope.
authority_scope	scope	system/daemon/core_loop.c; cmd/yai/src/main.rs; system/projection/projection.c	authority_scope	yai daemon run-filesystem-loop; yai control show	partial	yes	partial	display/enforcement split	future AuthorityScope	Record/display exists; no resolved scope object.
decision_authority	authority	system/control/decision.c; cmd/yai/src/main.rs	decision	yai control approve/deny/defer/quarantine	partial	yes	partial	decision id reused as authority	future AuthorityScope	Gate/decision can control carrier but lacks lease semantics.
receipt_authority	authority	system/effect/carriers/filesystem_carrier.c	filesystem_receipt	yai store record get; facts report	partial	yes	none	receipt is proof artifact not authority	future carrier boundary	Receipt status evidences execution/non-execution.
terminal_authority	authority	system/daemon/core_loop.c; cmd/yai/src/main.rs	authority_scope; subject_binding	yai daemon run-filesystem-loop	no	yes	none	terminal display authority can be confused with execution authority	future AuthorityScope	Displayed as terminal:display_only.
raw_journal_access	resource	cmd/yai/src/main.rs; engine/yai-engine/src/journal.rs	journal records	yai journal inspect/replay; labs raw outputs	no	yes	none	raw access bypasses projection visibility	future VisibilityScope	Should be operator/debug only, not model context.
filesystem sandbox	resource	system/effect/carriers/filesystem_carrier.c; system/daemon/core_loop.c	case_attachment; filesystem_receipt	yai daemon run-filesystem-loop; review smokes	yes	yes	none	path checks are concrete but not objectized	future ResourceScope	Strongest current resource enforcement.
filesystem_access	resource	system/effect/carriers/filesystem_carrier.c	filesystem_receipt	yai control approve; yai daemon run-filesystem-loop	yes	yes	partial	allow decision without lease abstraction	future CapabilityLease	Carrier accepts attempt/decision/sandbox/path.
carrier_attempted	status	cmd/yai/src/main.rs; system/effect/carrier_outcome_harness.c	control_pending; filesystem_receipt; fact_carrier_outcome	yai control pending/show; facts report	partial	yes	none	status can be overread as proof without receipt	future carrier boundary	False for pending/deny/defer/quarantine.
execution_performed	status	cmd/yai/src/main.rs; system/effect/carrier_outcome_harness.c	control_pending; filesystem_receipt; fact_carrier_outcome	yai control approve/deny/defer/quarantine; facts report	partial	yes	none	status can be overread without receipt	future carrier boundary	True only when carrier execution actually performed in current review path.
process owned/test PID	resource	system/effect/carriers/process_carrier.c; tests/smoke/process-carrier	process receipt smoke	yai process smoke surfaces	partial	yes	none	test-owned boundary not generalized	future ResourceScope	Only test-owned PIDs are allowed in smoke.
provider endpoint	resource	cmd/yai/src/main.rs; ../yai-dev/src/runtime/provider/*	provider runtime records	yai provider runtime status; provider targets	no	yes	none	endpoint can be mistaken for permission	future ResourceScope	LAN/external target needs scope gate.
LAN target	resource	cmd/yai/src/main.rs; work/spines provider docs	provider target	yai provider targets	no	yes	none	no network execution lease	future ResourceScope	Discovery only.
network/database/git scope	resource	include/yai/effect/carrier_family.h; system/effect/carrier_skeleton.c	none	yai carrier families/coverage	no	yes	none	skeletons can be mistaken for implemented carriers	future ResourceScope	Skeleton carrier families only.
participant_view	visibility	include/yai/case/participant_view.h; cmd/yai/src/main.rs	participant_view_frame	yai prompt; context-residency lab	partial	yes	none	preview can hide missing scope	future VisibilityScope	Participant view frame exists, but no visibility handle.
projection_result	visibility	include/yai/projection/projection_result.h; system/projection/projection_result.c	projection_result	yai daemon projection-summary; facts report	partial	yes	none	summary_only not formal scope	future projection boundary	Consumer/redaction/freshness posture.
model_context	visibility	system/daemon/core_loop.c; labs/context-residency	projection_request; projection_result	yai prompt; context-residency lab	partial	yes	none	model context built from summaries not resolved scopes	future VisibilityScope	Model projection uses summary_only redaction.
operator_summary	visibility	system/projection/projection.c	projection_result	yai daemon projection-summary	partial	yes	none	operator can see more than model but not formalized	future VisibilityScope	Operator projection count/summary.
